Conexiones activas de Internet (servidores w/o)
Proto  Recib Enviad Dirección local         Dirección remota       Estado      
tcp        0      0 192.168.0.150:50193     ec2-52-22-196-131.:http ESTABLECIDO
tcp        0      0 192.168.0.150:39754     104.28.30.143:http      ESTABLECIDO
tcp        0      0 192.168.0.150:37202     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 localhost:50010         localhost:mysql         ESTABLECIDO
tcp        0      0 192.168.0.150:49449     mia07s27-in-f173.:https ESTABLECIDO
tcp        0      0 192.168.0.150:34379     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:40571     mia07s24-in-f66.1:https ESTABLECIDO
tcp        0      0 192.168.0.150:60532     179.6.254.137:http      ESTABLECIDO
tcp        0      0 192.168.0.150:49454     104.25.169.18:http      ESTABLECIDO
tcp        0      0 192.168.0.150:35315     179.6.255.20:http       ESTABLECIDO
tcp        0      0 192.168.0.150:54977     a23-60-11-230.depl:http TIME_WAIT  
tcp        0      0 192.168.0.150:51913     179.6.255.45:http       TIME_WAIT  
tcp        0      0 192.168.0.150:58972     xx-fbcdn-shv-01-a:https ESTABLECIDO
tcp        0      0 192.168.0.150:53441     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:49451     104.25.169.18:http      TIME_WAIT  
tcp        0      0 192.168.0.150:60531     179.6.254.137:http      ESTABLECIDO
tcp        0      0 192.168.0.150:35763     179.6.255.30:http       TIME_WAIT  
tcp        0      0 192.168.0.150:37251     yk-in-f95.1e100.ne:http TIME_WAIT  
tcp        0      0 192.168.0.150:54992     a23-60-11-230.depl:http TIME_WAIT  
tcp        0      0 192.168.0.150:34386     a23-210-105-169.de:http ESTABLECIDO
tcp        0      0 192.168.0.150:41475     179.6.254.145:http      ESTABLECIDO
tcp        0      0 192.168.0.150:33465     server-54-230-160-:http TIME_WAIT  
tcp        0      0 192.168.0.150:60882     ec2-54-225-147-136:http TIME_WAIT  
tcp        0      0 192.168.0.150:49443     192.168.0.100:webmin    ESTABLECIDO
tcp        0      0 192.168.0.150:54969     a23-60-11-230.depl:http ESTABLECIDO
tcp        0      0 192.168.0.150:51652     192.229.163.25:https    ESTABLECIDO
tcp        0      0 192.168.0.150:54972     mia07s35-in-f10.1e:http TIME_WAIT  
tcp        0      0 192.168.0.150:44406     familysearch.org.:https TIME_WAIT  
